"","Commune ou ARM","Libellé commune ou ARM","Population en 2015 (princ)"
"352","01341","Saint-Champ","162"
"353","01342","Sainte-Croix","559"
"354","01343","Saint-Cyr-sur-Menthon","1746"
"355","01344","Saint-Denis-lès-Bourg","5530.00"
"356","01345","Saint-Denis-en-Bugey","2293"
"357","01346","Saint-Didier-d'Aussiat","886"
"358","01347","Saint-Didier-de-Formans","1889"
"359","01348","Saint-Didier-sur-Chalaronne","2787.00"
"360","01349","Saint-Éloi","451"
"361","01350","Saint-Étienne-du-Bois","2532.00"
"362","01351","Saint-Étienne-sur-Chalaronne","1538"
"363","01352","Saint-Étienne-sur-Reyssouze","566"
"364","01353","Sainte-Euphémie","1647"
"365","01354","Saint-Genis-Pouilly","3913.60"
"366","01354","Saint-Genis-Pouilly","3553.68"
"367","01354","Saint-Genis-Pouilly","3356.72"
"368","01355","Saint-Genis-sur-Menthon","473.00"
"369","01356","Saint-Georges-sur-Renon","224.00"
"370","01357","Saint-Germain-de-Joux","507"
"371","01358","Saint-Germain-les-Paroisses","426"
"372","01359","Saint-Germain-sur-Renon","233"
"373","01360","Saint-Jean-de-Gonville","1653"
"374","01361","Saint-Jean-de-Niost","1418"
"375","01362","Saint-Jean-de-Thurigneux","778"
"376","01363","Saint-Jean-le-Vieux","1663"
"377","01364","Saint-Jean-sur-Reyssouze","731.00"
"378","01365","Saint-Jean-sur-Veyle","1106"
"379","01366","Sainte-Julie","980"
"380","01367","Saint-Julien-sur-Reyssouze","714.00"
"381","01368","Saint-Julien-sur-Veyle","779"
"382","01369","Saint-Just","907"
"383","01370","Saint-Laurent-sur-Saône","1787"
"384","01371","Saint-Marcel","1327"
"385","01372","Saint-Martin-de-Bavel","434"
"386","01373","Saint-Martin-du-Frêne","1076"
"387","01374","Saint-Martin-du-Mont","1784.00"
"388","01375","Saint-Martin-le-Châtel","802.00"
"389","01376","Saint-Maurice-de-Beynost","3963"
"390","01378","Saint-Maurice-de-Gourdans","2509"
"391","01379","Saint-Maurice-de-Rémens","754"
"392","01380","Saint-Nizier-le-Bouchoux","682"
"393","01381","Saint-Nizier-le-Désert","912"
"394","01382","Sainte-Olive","287"
"395","01383","Saint-Paul-de-Varax","1476"
"396","01384","Saint-Rambert-en-Bugey","2311.00"
"397","01385","Saint-Rémy","991"
"398","01386","Saint-Sorlin-en-Bugey","1131"
"399","01387","Saint-Sulpice","234"
"400","01388","Saint-Trivier-de-Courtes","1097"
"401","01389","Saint-Trivier-sur-Moignans","1844"
"402","01390","Saint-Vulbas","1194"
"403","01391","Salavre","285"
"404","01392","Samognat","660.00"
"405","01393","Sandrans","520"
"406","01396","Sault-Brénaz","985.00"
"407","01397","Sauverny","1037"
"408","01398","Savigneux","1301"
"409","01399","Ségny","1969"
"410","01400","Seillonnaz","138"
"411","01401","Sergy","2015"
"412","01402","Sermoyer","694.00"
"413","01403","Serrières-de-Briord","1278"
"414","01404","Serrières-sur-Ain","128"
"415","01405","Servas","1224"
"416","01406","Servignat","176.00"
"417","01407","Seyssel","990.00"
"418","01408","Simandre-sur-Suran","683"
"419","01410","Sonthonnax-la-Montagne","321"
"420","01411","Souclin","267"
"421","01412","Sulignat","568"
"422","01413","Surjoux","72"
"423","01414","Sutrieu","211"
"424","01415","Talissieu","443"
"425","01416","Tenay","1053"
"426","01417","Thézillieu","300"
"427","01418","Thil","1057"
"428","01419","Thoiry","6161.00"
"429","01420","Thoissey","1712"
"430","01421","Torcieu","730"
"431","01422","Tossiat","1370"
"432","01423","Toussieux","913"
"433","01424","Tramoyes","1674"
"434","01425","La Tranclière","292"
"435","01426","Val-Revermont","2572"
"436","01427","Trévoux","2349.51"
"437","01427","Trévoux","4418.49"
"438","01428","Valeins","130"
"439","01429","Vandeins","683.00"
"440","01430","Varambon","535"
"441","01431","Vaux-en-Bugey","1231"
"442","01432","Verjon","262"
"443","01433","Vernoux","321"
"444","01434","Versailleux","423.00"
"445","01435","Versonnex","2183"
"446","01436","Vesancy","502.00"
"447","01437","Vescours","255"
"448","01439","Vésines","100"
"449","01441","Vieu-d'Izenave","691"
"450","01442","Vieu","379"
"451","01443","Villars-les-Dombes","4460"
"452","01444","Villebois","1167"
"453","01445","Villemotier","669.00"
"454","01446","Villeneuve","1461"
"455","01447","Villereversure","1262"
"456","01448","Villes","354"
"457","01449","Villette-sur-Ain","728"
"458","01450","Villieu-Loyes-Mollon","3507"
"459","01451","Viriat","1603.92"
"460","01451","Viriat","4677.08"
"461","01452","Virieu-le-Grand","1067"
"462","01453","Virieu-le-Petit","302.00"
"463","01454","Virignin","1064"
"464","01456","Vongnes","71"
"465","01457","Vonnas","2926"
"466","02001","Abbécourt","497"
"467","02002","Achery","608.00"
"468","02003","Acy","1011"
"469","02004","Agnicourt-et-Séchelles","182"
"470","02005","Aguilcourt","398.00"
"471","02006","Aisonville-et-Bernoville","254"
"472","02007","Aizelles","121"
"473","02008","Aizy-Jouy","294.00"
